,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_objective,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,1.6583940029144286,0.029621054161839938,0.009676027297973632,0.00039820703342695557,0.05,1000,multi:softmax,1.2,2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
35,1.5959444046020508,0.011543230796047603,0.008976507186889648,0.0006288667464115253,0.05,1000,multi:softmax,2,0.1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9872810399812071,0.9957593971670388,0.9874201871995952,0.9907015594027101,0.004137354853625347,113
36,1.6182662010192872,0.012636226817366723,0.00967578887939453,0.0006014023171527123,0.05,1000,multi:softmax,2,1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9830909591128932,0.9957593971670388,0.9874201871995952,0.9898635432290475,0.005065539537817576,120
37,1.6106074810028077,0.009945769481182174,0.009477996826171875,0.0004462071729595584,0.05,1000,multi:softmax,2,1.2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9830909591128932,0.9957593971670388,0.9874201871995952,0.9898635432290475,0.005065539537817576,120
38,1.6075265407562256,0.012304177941063784,0.009277725219726562,0.00040036014505926,0.05,1000,multi:softmax,2,1.4,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9830909591128932,0.9957593971670388,0.9874201871995952,0.9898635432290475,0.005065539537817576,120
39,1.682603645324707,0.07347488521137041,0.009374904632568359,0.0004885780514616546,0.05,1000,multi:softmax,2,2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 2, 'reg_lambda': 2}",0.9957772900059964,0.9872698826597132,0.9830909591128932,0.9957593971670388,0.9874201871995952,0.9898635432290475,0.005065539537817576,120
40,0.26322298049926757,0.03275011486750065,0.007483530044555664,0.000774448437860948,0.1,100,multi:softmax,0.1,0.1,"{'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,0.9873111357410133,0.9874201871995952,0.9898587018051501,0.0033737660071566727,146
41,0.33656978607177734,0.044930295204772014,0.008482646942138673,0.0006397238037873778,0.1,100,multi:softmax,0.1,1,"{'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1}",1.0,0.9915254237288136,0.9915150134194323,0.9957593971670388,0.9874201871995952,0.9932440043029761,0.004285567720563537,23
42,0.31832375526428225,0.019400173230664248,0.007979869842529297,0.0006304607395714036,0.1,100,multi:softmax,0.1,1.2,"{'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.2}",1.0,0.9915254237288136,0.9915150134194323,1.0,0.9874201871995952,0.9940921248695682,0.005050746233140726,3
43,0.30843591690063477,0.026970594537718086,0.008986616134643554,0.0013710378965666572,0.1,100,multi:softmax,0.1,1.4,"{'learning_rate': 0.1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 1.4}",1.0,0.9915254237288136,0.9915150134194323,0.995769461288006,0.9874201871995952,0.9932460171271694,0.0042867508652366,18
